servicePointId,readingType,variableId,deviceId,meteringType,readingUtcLocalTime,readingDateSource,readingLocalTime,dstStatus,channel,unitOfMeasure,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,intervalSize,logNumber,ct,pt,ke,sf,version,readingsValue,primarySource,owner,guidFile,estatus,registersNumber,eventsCode,agentId,agentDescription
1test,Perfiles de carga,kWh Delivered,1,Main,,,2011-03-25T09:30:00.000-03:00,,1,kWh,,,,15,1,,,0.01,,Original,1.0,Remoto,,,Activo,,,,
1test,Perfiles de carga,kWh Delivered,1,Main,,,2011-03-25T09:45:00.000-03:00,,1,kWh,,,,15,1,,,0.01,,Original,2.0,Remoto,,,Activo,,,,
1test,Perfiles de carga,kWh Delivered,1,Main,,,2011-05-16T06:30:00.000-03:00,,1,kWh,,,,15,1,,,0.01,,Original,3.0,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2011-03-25T09:30:00.000-03:00,,1,kWh,,,,15,1,,,0.01,,Original,4.0,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2011-03-25T09:45:00.000-03:00,,1,kWh,,,,15,1,,,0.01,,Original,5.0,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2018-06-05T15:00:00.000-03:00,,1,kWh,1,4,1,15,1,,,0.01,,Original,4.095,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2018-06-05T15:00:00.000-03:00,,1,kWh,1,4,1,15,1,,,0.01,,Original,4.095,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2018-06-05T15:00:00.000-03:00,,1,kWh,1,4,1,15,1,,,0.01,,Original,4.095,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2018-06-05T15:00:00.000-03:00,,1,kWh,2,4,9,15,1,,,0.01,,Original,4.095,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2018-06-05T15:00:00.000-03:00,,1,kWh,1,4,128,15,1,,,0.01,,Original,4.095,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2018-06-05T15:00:00.000-03:00,,1,kWh,1,4,3,15,1,,,0.01,,Original,4.095,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2018-06-05T15:00:00.000-03:00,,1,kWh,1,4,64,15,1,,,0.01,,Original,4.095,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2018-06-05T15:00:00.000-03:00,,1,kWh,1,4,2,15,1,,,0.01,,Original,4.095,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2018-06-05T15:00:00.000-03:00,,1,kWh,1,1,9,15,1,,,0.01,,Original,4.095,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2018-06-05T15:00:00.000-03:00,,1,kWh,1,4,4,15,1,,,0.01,,Original,4.095,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2018-06-05T15:00:00.000-03:00,,1,kWh,1,2,32,15,1,,,0.01,,Original,4.095,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2018-06-05T15:00:00.000-03:00,,1,kWh,1,4,1,15,1,,,0.01,,Original,4.095,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2011-03-25T09:30:00.000-03:00,,1,kWh,,,,15,1,,,0.01,,Original,6.0,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2011-03-25T09:45:00.000-03:00,,1,kWh,,,,15,1,,,0.01,,Original,7.0,Remoto,,,Activo,,,,
