servicePointId,readingType,variableId,deviceId,meteringType,readingUtcLocalTime,readingDateSource,readingLocalTime,dstStatus,channel,unitOfMeasure,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,intervalSize,logNumber,ct,pt,ke,sf,version,readingsValue,primarySource,owner,guidFile,estatus,registersNumber,eventsCode,agentId,agentDescription
2testEE,Eventos,Communications Elapsed time for pass-through operation (msec),2,Main,,2011-05-16T06:32:37.000-03:00,2011-05-16T06:32:37.000-03:00,,,,,,,,1,,,,,Original,1482,Remoto,,,Activo,,83,,
2testEE,Eventos,Tamper Alert Config Table Write Warning,2,Main,,2011-05-16T06:32:37.000-03:00,2011-05-16T06:32:37.000-03:00,,,,,,,,1,,,,,Original,0,Remoto,,,Activo,,71,,
2testEE,Eventos,Meter Health Radio Config Error,2,Main,,2011-05-16T06:32:37.000-03:00,2011-05-16T06:32:37.000-03:00,,,,,,,,1,,,,,Original,0,Remoto,,,Activo,,72,,
2testEE,Eventos,Service Voltage Monitoring Max Event,2,Main,,2011-05-16T06:32:37.000-03:00,2011-05-16T06:32:37.000-03:00,,,,,,,,1,,,,,Original,0,Remoto,,,Activo,,78,,
2testEE,Eventos,Service Momentary Outage Count,2,Main,,2011-05-16T06:32:37.000-03:00,2011-05-16T06:32:37.000-03:00,,,,,,,,1,,,,,Original,6,Remoto,,,Activo,,73,,
2testEE,Eventos,Service Sustained Outage Count,2,Main,,2011-05-16T06:32:37.000-03:00,2011-05-16T06:32:37.000-03:00,,,,,,,,1,,,,,Original,3,Remoto,,,Activo,,74,,
2testEE,Eventos,Service Sustained Outage Duration (secs),2,Main,,2011-05-16T06:32:37.000-03:00,2011-05-16T06:32:37.000-03:00,,,,,,,,1,,,,,Original,1344,Remoto,,,Activo,,75,,
2testEE,Eventos,Communications Elapsed time for pass-through operation (msec),2,Main,,2011-05-16T06:32:37.000-03:00,2011-05-16T06:32:37.000-03:00,,,,,,,,1,,,,,Original,1482,Remoto,,,Activo,,83,,
2testEE,Eventos,Tamper Alert Config Table Write Warning,2,Main,,2011-05-16T06:32:37.000-03:00,2011-05-16T06:32:37.000-03:00,,,,,,,,1,,,,,Original,0,Remoto,,,Activo,,71,,
2testEE,Eventos,Meter Health Radio Config Error,2,Main,,2011-05-16T06:32:37.000-03:00,2011-05-16T06:32:37.000-03:00,,,,,,,,1,,,,,Original,0,Remoto,,,Activo,,72,,
2testEE,Eventos,Service Voltage Monitoring Max Event,2,Main,,2011-05-16T06:32:37.000-03:00,2011-05-16T06:32:37.000-03:00,,,,,,,,1,,,,,Original,0,Remoto,,,Activo,,78,,
2testEE,Eventos,Service Momentary Outage Count,2,Main,,2011-05-16T06:32:37.000-03:00,2011-05-16T06:32:37.000-03:00,,,,,,,,1,,,,,Original,6,Remoto,,,Activo,,73,,
2testEE,Eventos,Service Sustained Outage Count,2,Main,,2011-05-16T06:32:37.000-03:00,2011-05-16T06:32:37.000-03:00,,,,,,,,1,,,,,Original,3,Remoto,,,Activo,,74,,
2testEE,Eventos,Service Sustained Outage Duration (secs),2,Main,,2011-05-16T06:32:37.000-03:00,2011-05-16T06:32:37.000-03:00,,,,,,,,1,,,,,Original,1344,Remoto,,,Activo,,75,,
