servicePointId,readingType,variableId,deviceId,meteringType,readingUtcLocalTime,readingDateSource,readingLocalTime,dstStatus,channel,unitOfMeasure,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,intervalSize,logNumber,ct,pt,ke,sf,version,readingsValue,primarySource,owner,guidFile,estatus,registersNumber,eventsCode,agentId,agentDescription
RegTest-sdp_id-coll-changed,Registros,kW Delivered Total,1,Main,,,2011-05-16 06:32:37,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,92.176,Remoto,PRIMEREAD,Nombre del archivo,Activo,,,,
RegTest-sdp_id-coll-changed,Registros,kW Delivered TierB,1,Main,,,2015-05-16 06:32:37,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0.0,Remoto,PRIMEREAD,Nombre del archivo,Activo,,,,
RegTest-sdp_id-rex-01,Registros,kW Delivered Total,2,Main,,,2011-05-16 06:32:37,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,92.176,Remoto,PRIMEREAD,Nombre del archivo,Activo,,,,
RegTest-sdp_id-rex-01,Registros,kW Delivered TierB,2,Main,,,2011-05-16 06:40:00,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0.0,Remoto,PRIMEREAD,Nombre del archivo,Activo,,,,
RegTest-sdp_id-rex-01,Registros,kW Delivered TierC,2,Main,,,2011-05-16 06:32:37,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,92.176,Remoto,PRIMEREAD,Nombre del archivo,Activo,,,,
RegTest-sdp_id-rex-01,Registros,Demand Reset,2,Main,,,2011-05-16 06:32:00,,,Count,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,14.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,Demand Reset,2,Main,,,2011-05-16 06:35:00,,,Count,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,16.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,Demand Reset,2,Main,,,2011-05-16 06:40:00,,,Count,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,20.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,kWh Delivered TierC,2,Main,,,2011-05-16 06:32:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,144208.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,kWh Delivered TierA,2,Main,,,2011-05-16 06:32:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,kWh Delivered TierB,2,Main,,,2011-05-16 06:32:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,kWh Delivered TierD,2,Main,,,2011-05-16 06:32:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,kWh Delivered Total,2,Main,,,2011-05-16 06:32:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,144208.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,kWh Received Total,2,Main,,,2011-05-16 06:32:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,kW Delivered Total,2,Main,,,2016-05-16 06:32:00,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,92.176,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,kWh Delivered TierA,2,Main,,,2011-05-16 06:32:37,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,99.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,kW Delivered TierA,2,Main,,,2011-05-16 06:40:00,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,80.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,kW Delivered TierB,2,Main,,,2011-05-16 06:40:00,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,82.19,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,kW Delivered TierC,2,Main,,,2011-05-16 06:32:37,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,95.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Eventos,Demand Reset,2,Main,,,2011-05-09 03:55:00,,,,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Eventos,Demand Reset,2,Main,,,2012-07-13 06:45:00,,,,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Eventos,Demand Reset,2,Main,,,2013-03-16 07:20:00,,,,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,,2,Main,,,2011-05-16 06:32:00,,,,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,274.962423,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,,2,Main,,,2011-03-25 12:30:00,,,A,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,96.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
RegTest-sdp_id-rex-01,Registros,,2,Main,,,2011-05-16 06:32:00,,,V,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,23.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
