servicePointId,readingType,variableId,deviceId,meteringType,readingUtcLocalTime,readingDateSource,readingLocalTime,dstStatus,channel,unitOfMeasure,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,intervalSize,logNumber,ct,pt,ke,sf,version,readingsValue,primarySource,owner,guidFile,estatus,registersNumber,eventsCode,agentId,agentDescription
1test,Registros,kW Delivered Total,1,Main,,,2011-05-16 06:32:37,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,92.176,Remoto,PRIMEREAD,Nombre del archivo,Activo,,,,
1test,Registros,kW Delivered TierB,1,Main,,,2015-05-16 06:32:37,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0.0,Remoto,PRIMEREAD,Nombre del archivo,Activo,,,,
2testEE,Registros,kW Delivered Total,2,Main,,,2011-05-16 06:32:37,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,92.176,Remoto,PRIMEREAD,Nombre del archivo,Activo,,,,
2testEE,Registros,kW Delivered TierB,2,Main,,,2011-05-16 06:40:00,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0.0,Remoto,PRIMEREAD,Nombre del archivo,Activo,,,,
2testEE,Registros,kW Delivered TierC,2,Main,,,2011-05-16 06:32:37,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,92.176,Remoto,PRIMEREAD,Nombre del archivo,Activo,,,,
2testEE,Registros,Demand Reset,2,Main,,,2011-05-16 06:32:00,,,Count,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,14.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,Demand Reset,2,Main,,,2011-05-16 06:35:00,,,Count,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,16.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,Demand Reset,2,Main,,,2011-05-16 06:40:00,,,Count,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,20.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kWh Delivered TierC,2,Main,,,2011-05-16 06:32:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,144208.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kWh Delivered TierA,2,Main,,,2011-05-16 06:32:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kWh Delivered TierB,2,Main,,,2011-05-16 06:32:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kWh Delivered TierD,2,Main,,,2011-05-16 06:32:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kWh Delivered Total,2,Main,,,2011-05-16 06:32:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,144208.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kWh Received Total,2,Main,,,2011-05-16 06:32:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kW Delivered Total,2,Main,,,2016-05-16 06:32:00,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,92.176,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kWh Delivered TierA,2,Main,,,2011-05-16 06:32:37,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,99.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kW Delivered TierA,2,Main,,,2011-05-16 06:40:00,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,80.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kW Delivered TierB,2,Main,,,2011-05-16 06:40:00,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,82.19,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kW Delivered TierC,2,Main,,,2011-05-16 06:32:37,,,kW,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,95.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Eventos,Demand Reset,2,Main,,,2011-05-09 03:55:00,,,,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Eventos,Demand Reset,2,Main,,,2012-07-13 06:45:00,,,,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Eventos,Demand Reset,2,Main,,,2013-03-16 07:20:00,,,,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,,2,Main,,,2011-05-16 06:32:00,,,,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,274.962423,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,,2,Main,,,2011-03-25 12:30:00,,,A,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,96.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,,2,Main,,,2011-05-16 06:32:00,,,V,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,23.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,,2,Main,,,2011-03-25 12:30:00,,,Degree,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,27.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,,2,Main,,,2011-07-16 06:32:00,,,Hz,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,,,,200.0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Eventos,Communications Elapsed time for pass-through operation (msec),2,Main,,,2011-05-16 06:32:37,,,,,,,,1,,,,,Original,1482,Remoto,,,Activo,,83,,
2testEE,Eventos,Tamper Alert Config Table Write Warning,2,Main,,,2011-05-16 06:32:37,,,,,,,,1,,,,,Original,0,Remoto,,,Activo,,71,,
2testEE,Eventos,Meter Health Radio Config Error,2,Main,,,2011-05-16 06:32:37,,,,,,,,1,,,,,Original,0,Remoto,,,Activo,,72,,
2testEE,Eventos,Service Voltage Monitoring Max Event,2,Main,,,2011-05-16 06:32:37,,,,,,,,1,,,,,Original,0,Remoto,,,Activo,,78,,
2testEE,Eventos,Service Momentary Outage Count,2,Main,,,2011-05-16 06:32:37,,,,,,,,1,,,,,Original,6,Remoto,,,Activo,,73,,
2testEE,Eventos,Service Sustained Outage Count,2,Main,,,2011-05-16 06:32:37,,,,,,,,1,,,,,Original,3,Remoto,,,Activo,,74,,
2testEE,Eventos,Service Sustained Outage Duration (secs),2,Main,,,2011-05-16 06:32:37,,,,,,,,1,,,,,Original,1344,Remoto,,,Activo,,75,,
2testEE,Eventos,Communications Elapsed time for pass-through operation (msec),2,Main,,,2011-05-16 06:32:37,,,,,,,,1,,,,,Original,1482,Remoto,,,Activo,,83,,
2testEE,Eventos,Tamper Alert Config Table Write Warning,2,Main,,,2011-05-16 06:32:37,,,,,,,,1,,,,,Original,0,Remoto,,,Activo,,71,,
2testEE,Eventos,Meter Health Radio Config Error,2,Main,,,2011-05-16 06:32:37,,,,,,,,1,,,,,Original,0,Remoto,,,Activo,,72,,
2testEE,Eventos,Service Voltage Monitoring Max Event,2,Main,,,2011-05-16 06:32:37,,,,,,,,1,,,,,Original,0,Remoto,,,Activo,,78,,
2testEE,Eventos,Service Momentary Outage Count,2,Main,,,2011-05-16 06:32:37,,,,,,,,1,,,,,Original,6,Remoto,,,Activo,,73,,
2testEE,Eventos,Service Sustained Outage Count,2,Main,,,2011-05-16 06:32:37,,,,,,,,1,,,,,Original,3,Remoto,,,Activo,,74,,
2testEE,Eventos,Service Sustained Outage Duration (secs),2,Main,,,2011-05-16 06:32:37,,,,,,,,1,,,,,Original,1344,Remoto,,,Activo,,75,,
1test,Registros,kWh Delivered,1,Main,,,,,,kWh,,,,,,,,0.01,,,11461.6,Remoto,sacar del Path,sacar del Path,Activo,,,,
1test,Registros,kWh Delivered,1,Main,,,,,,kWh,,,,,,,,0.01,,,11461.6,Remoto,sacar del Path,sacar del Path,Activo,,,,
1test,Eventos,Outage count,1,Main,,,2011-05-16 06:32:59,,,Count,,,,,,,,,,,48,Remoto,sacar del Path,sacar del Path,Activo,,,,
1test,Eventos,Outage count,1,Main,,,2011-05-16 06:32:59,,,Count,,,,,,,,,,,48,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Eventos,Outage count,2,Main,,,2011-05-16 06:32:00,,,Count,,,,,,,,,,,15,Remoto,sacar del Path,sacar del Path,Activo,,,,
1test,Eventos,Outage count,1,Main,,,2011-05-16 06:30:38,,,Count,,,,,,,,,,,48,Remoto,sacar del Path,sacar del Path,Activo,,,,
1test,Eventos,Outage count,1,Main,,,2011-05-16 06:30:38,,,Count,,,,,,,,,,,48,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Eventos,Outage count,2,Main,,,2011-05-16 06:19:00,,,Count,,,,,,,,,,,15,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,Reverse energy summary,2,Main,,,,,,,,,,,,,,,,,0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,Reverse energy summary,2,Main,,,,,,,,,,,,,,,,,0,Remoto,sacar del Path,sacar del Path,Activo,,,,
1test,Perfiles de carga,kWh Delivered,1,Main,,,2011-03-25 09:30:00,,1,kWh,,,,15,1,,,0.01,,Original,1.0,Remoto,,,Activo,,,,
1test,Perfiles de carga,kWh Delivered,1,Main,,,2011-03-25 09:45:00,,1,kWh,,,,15,1,,,0.01,,Original,2.0,Remoto,,,Activo,,,,
1test,Perfiles de carga,kWh Delivered,1,Main,,,2011-05-16 06:30:00,,1,kWh,,,,15,1,,,0.01,,Original,3.0,Remoto,,,Activo,,,,
2testEE,Perfiles de carga,kWh Delivered,2,Main,,,2011-03-25 09:30:00,,1,kWh,,,,15,1,,,0.01,,Original,4.0,Remoto,,,Activo,,,,
